MT48LC16M16A2FG ,U,XESS:MT48LC16M16A2FG,MT48LC16M16A2FG 
Pin,Name,Type,Side
H7,A0,in,left
H8,A1,in,left
J8,A2,in,left
J7,A3,in,left
J3,A4,in,left
J2,A5,in,left
H3,A6,in,left
H2,A7,in,left
H1,A8,in,left
G3,A9,in,left
H9,A10,in,left
G2,A11,in,left
G1,A12,in,left
G7,BA0,in,left
G8,BA1,in,left
*,,,left
G9,CS#,in,left
F9,WE#,in,left
F8,RAS#,in,left
F7,CAS#,in,left
*,,,left
E8,LDQM,in,left
F1,UDQM,in,left
*,,,left
F2,CLK,in,left
F3,CKE,in,left
*,,,left
E2,NC,nc,left
A8,DQ0,io,right
B9,DQ1,io,right
B8,DQ2,io,right
C9,DQ3,io,right
C8,DQ4,io,right
D9,DQ5,io,right
D8,DQ6,io,right
E9,DQ7,io,right
E1,DQ8,io,right
D2,DQ9,io,right
D1,DQ10,io,right
C2,DQ11,io,right
C1,DQ12,io,right
B2,DQ13,io,right
B1,DQ14,io,right
A2,DQ15,io,right
A9,Vdd,pwr,top
E7,Vdd,pwr,top
J9,Vdd,pwr,top
A7,Vddq,pwr,top
B3,Vddq,pwr,top
C7,Vddq,pwr,top
D3,Vddq,pwr,top
A1,Vss,pwr,bottom
E3,Vss,pwr,bottom
J1,Vss,pwr,bottom
A3,Vssq,pwr,bottom
B7,Vssq,pwr,bottom
C3,Vssq,pwr,bottom
D7,Vssq,pwr,bottom
