MCP43X1,,,,,
Pin,Name,Unit,Side,Type,Style
1,P3A,3,left,pass,
2,P3W,3,right,pass,
3,P3B,3,left,pass,
4,~CS,COMMON,left,inp,
5,SCK,COMMON,left,inp,
6,SDI,COMMON,left,inp,
7,VSS,COMMON,bottom,pwr,
8,P1B,1,left,pass,
9,P1W,1,right,pass,
10,P1A,1,left,pass,
11,P0A,0,left,pass,
12,P0W,0,right,pass,
13,P0B,0,left,pass,
14,~WP,COMMON,left,inp,
15,~RESET,COMMON,left,inp,
16,SDO,COMMON,right,outp,
17,VDD,COMMON,top,pwr,
18,P2B,2,left,pass,
19,P2W,2,right,pass,
20,P2A,2,left,pass,
,,,,,
,,,,,
MCP48X2,,,,,
Pin,Name,Unit,Side,Type,Style
1,VDD,1,left,pwr,
2,~CS,1,left,inp,
3,SCK,1,left,inp,
4,SDI,1,left,inp,
5,~LDAC,1,right,inp,
6,VoutB,1,right,outp,
7,VSS,1,right,pwr,
8,VoutA,1,right,outp,
,,,,,
,,,,,
MCP4021,,,,,
Pin,Name,Unit,Side,Type,Style
1,VDD,1,left,pwr,
2,VSS,1,left,pwr,
3,A,1,left,pass,
4,W,1,left,pass,
5,~CS,1,right,in,
6,B,1,right,pass,
7,NC,1,right,nc,
8,U/~D,1,right,in,
,,,,,
,,,,,
MCP4022,,,,,
Pin,Name,Unit,Side,Type,Style
1,VDD,1,left,pwr,
2,VSS,1,left,pwr,
3,U/~D,1,left,in,
4,~CS,1,right,in,
5,W,1,right,pass,
6,A,1,right,pass,
,,,,,
,,,,,
MCP4023,,,,,
Pin,Name,Unit,Side,Type,Style
1,VDD,1,left,pwr,
2,VSS,1,left,pwr,
3,U/~D,1,left,in,
4,~CS,1,right,in,
5,W,1,right,pass,
6,A,1,right,pass,
,,,,,
,,,,,
MCP4024,,,,,
Pin,Name,Unit,Side,Type,Style
1,VDD,1,left,pwr,
2,VSS,1,left,pwr,
3,U/~D,1,left,in,
4,~CS,1,right,in,
5,W,1,right,pass,
,,,,,
MIC5355,,,,,
Pin,Name,Unit,Side,Type,Style
1,VIN,,left,pwr,
2,GND,,left,pwr,
3,NC,,left,nc,
4,EN2,,left,in,
5,EN1,,right,in,
6,NC,,right,nc,
7,VOUT2,,right,pwr_out,
8,VOUT1,,right,pwr_out,
9,HSPAD,,bottom,pwr,
