VREG-ADJ-4,U,TO_SOT_Packages_SMD:SOT-223,
Pin,Name,Type,Side
1,ADJ,in,bottom
2,VOUT,pwrout,right
3,VIN,pwr,left
4,HS,passive,right
,,,
VREG-ADJ-3,U,TO_SOT_Packages_SMD:SOT-223,
Pin,Name,Type,Side
1,ADJ,in,bottom
2,VOUT,pwrout,right
3,VIN,pwr,left
,,,
VREG-FIXED-4,U,TO_SOT_Packages_SMD:SOT-223,
Pin,Name,Type,Side
1,GND,pwr,bottom
2,VOUT,pwrout,right
3,VIN,pwr,left
4,HS,passive,right
,,,
VREG-FIXED-3,U,TO_SOT_Packages_SMD:SOT-223,
Pin,Name,Type,Side
1,GND,pwr,bottom
2,VOUT,pwrout,right
3,VIN,pwr,left
